stim_name,wtc_code,manifest_wtc_code,beta_piece_override_applied,manual_onset_s,deployed_t0_wav,matched_t0_wav,beta_midi_path,deployed_t0_sha256,matched_t0_sha256,beta_midi_sha256
track19,wtc1p03,wtc1p03,False,1.03791666666667,01_deployed_t0.wav,02_matched_t0.wav,wtc1p03_cut-MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--1.midi,44e7c36b3c1b905f303c0fff7733ba69e5414bc4cd5c1d50daa60a25ede6dd05,44e7c36b3c1b905f303c0fff7733ba69e5414bc4cd5c1d50daa60a25ede6dd05,cd2630fb4c526ff634bebbc71d7c13bc7b3d16150939975aabf553f03e45eac2
track2,wtc1p15,wtc1p15,False,0.9949583333333328,01_deployed_t0.wav,02_matched_t0.wav,wtc1p15_cut-MIDI-Unprocessed_R1_D2-21-22_mid--AUDIO-from_mp3_21_R1_2015_wav--1.midi,f531553a6795d4b41583fb1e5d0c3429f35221b0c14d32c7736cf8af3c4f6812,f531553a6795d4b41583fb1e5d0c3429f35221b0c14d32c7736cf8af3c4f6812,2e0163695c2f5486469d3d06846f814f9fb3929b85fb144bb4c6c0901d2c1ef7
track20,wtc2p24,wtc2p24,False,1.0476875,01_deployed_t0.wav,02_matched_t0.wav,wtc2p24_cut-MIDI-Unprocessed_06_R1_2008_01-04_ORIG_MID--AUDIO_06_R1_2008_wav--1.midi,3e63515c3a23c06de285c56cfc4bf0ea732810992530e3b1516f66331e4f5f3f,3e63515c3a23c06de285c56cfc4bf0ea732810992530e3b1516f66331e4f5f3f,902609dcffe450d857e22b7544ef5380d80c3e08497c297938c0024954b57439
track21,wtc1f05,wtc1f05,False,1.95889583333333,01_deployed_t0.wav,02_matched_t0.wav,wtc1f05_cut-MIDI-Unprocessed_053_PIANO053_MID--AUDIO-split_07-06-17_Piano-e_3-04_wav--1.midi,3f1bf62adb04c613106a7ac594ff03b75ea0267e600273bf73690afe06f75c36,3f1bf62adb04c613106a7ac594ff03b75ea0267e600273bf73690afe06f75c36,252db5dffa5634505eb964b459edbccb0b6e74c432e049c37234f08d1c2f0aa5
track22,wtc2f07,wtc2f07,False,2.03095833333333,01_deployed_t0.wav,02_matched_t0.wav,wtc2f07_cut-MIDI-Unprocessed_13_R1_2011_MID--AUDIO_R1-D5_02_Track02_wav.midi,f6b0d26a0ca8cf3a0f7301da4231f439d534c584b850d4e091c4078e4fccc282,f6b0d26a0ca8cf3a0f7301da4231f439d534c584b850d4e091c4078e4fccc282,573dfcc6d7169ee5658a3d3e47cc01eaabc038c7532643dc8db0cf6d62467c3f
track23,wtc1p03,wtc1p03,False,0.974604166666667,01_deployed_t0.wav,02_matched_t0.wav,wtc1p03_cut-MIDI-Unprocessed_24_R1_2011_MID--AUDIO_R1-D9_08_Track08_wav.midi,434a230ffcfcc6b86f9e5b7fa57422bcd82e92ff764ca3cd5f541b29f9e3ee53,434a230ffcfcc6b86f9e5b7fa57422bcd82e92ff764ca3cd5f541b29f9e3ee53,abdbcb95c151f1b24f16aae8c1b88fec6d4630de0c3a0cd44a80d80538406a48
track24,wtc1p17,wtc1p17,False,1.09241666666667,01_deployed_t0.wav,02_matched_t0.wav,wtc1p17_cut-MIDI-Unprocessed_13_R1_2008_01-04_ORIG_MID--AUDIO_13_R1_2008_wav--1.midi,6d24c31348745285deb1e8fe6709861a74b020d238d011432e15ed0cb176f4ec,6d24c31348745285deb1e8fe6709861a74b020d238d011432e15ed0cb176f4ec,521fbc5105fa1fc25f1cff71a74ffda2d5347025cea6467be35c658a4afd47d4
track3,wtc2f06,wtc2f06,False,1.98908333333333,01_deployed_t0.wav,02_matched_t0.wav,wtc2f06_cut-MIDI-Unprocessed_065_PIANO065_MID--AUDIO-split_07-07-17_Piano-e_3-01_wav--1.midi,2acf7f4ce7cf13c3ebfbb2b58f0c1ca703656f3801102c1c6d3a7952497ae9f5,2acf7f4ce7cf13c3ebfbb2b58f0c1ca703656f3801102c1c6d3a7952497ae9f5,2c129f8038fbd32270b15ce89fb5d9e619f424a31e5b342e0c0d55fb15b6124b
track4,wtc2f06,wtc2f06,False,1.97366666666667,01_deployed_t0.wav,02_matched_t0.wav,wtc2f06_cut-MIDI-Unprocessed_XP_09_R1_2004_01-02_ORIG_MID--AUDIO_09_R1_2004_01_Track01_wav.midi,a581024336902babd9485ed9d9a2bc82fe177c6955fbb45972f18f4d900213a5,a581024336902babd9485ed9d9a2bc82fe177c6955fbb45972f18f4d900213a5,4d5de1a920376a6740105347c2eecabe953c56081b34c7f603edeaf6515f66e3
track5,wtc2p01,wtc2p01,False,0.9955208333333329,01_deployed_t0.wav,02_matched_t0.wav,wtc2p01_cut-MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_20_R1_2015_wav--1.midi,8acefd1c1aa172b5a1e5f6a3a7cdd38cc8b12505d5fac61407370ea63aee0bff,8acefd1c1aa172b5a1e5f6a3a7cdd38cc8b12505d5fac61407370ea63aee0bff,8b06670ae01b1b5b233cbcab068122012e447d82a18d181c12467e9f2913b758
track6,wtc1p04,wtc1p04,False,0.986625,01_deployed_t0.wav,02_matched_t0.wav,wtc1p04_cut-MIDI-Unprocessed_044_PIANO044_MID--AUDIO-split_07-06-17_Piano-e_1-04_wav--1.midi,a6a13fe4bf49422f7a5eeeba404681566334b15074f037bfc4d35d0565818fdf,a6a13fe4bf49422f7a5eeeba404681566334b15074f037bfc4d35d0565818fdf,f2fcc820321d8be0f778b7af9eef660044dbe459ce0a16838fc9d6552ba2e9bc
track7,wtc2p24,wtc2p24,False,1.050375,01_deployed_t0.wav,02_matched_t0.wav,wtc2p24_cut-ORIG-MIDI_03_7_6_13_Group__MID--AUDIO_10_R1_2013_wav--1.midi,864568bee630e77c24322a9aff78463dc23195483c8e49757b3762fae4e71ef4,864568bee630e77c24322a9aff78463dc23195483c8e49757b3762fae4e71ef4,78b0266c0d357b7eada0692d0a4a570fcc5f0608be1e2909ab57c51536e83fb9
track8,wtc1f03,wtc1p03,True,1.97,01_deployed_t0.wav,02_matched_t0.wav,wtc1f03_cut-MIDI-Unprocessed_24_R1_2011_MID--AUDIO_R1-D9_08_Track08_wav.midi,60bdce063f52095af1098f8fe2039663c75d5b3c23404b4d16785b9372d7d252,60bdce063f52095af1098f8fe2039663c75d5b3c23404b4d16785b9372d7d252,a9d81931493e5d82079dda001923a54b70381c604d7bdcef8042b66f0533d5d1
track9,wtc1f03,wtc1p03,True,1.972,01_deployed_t0.wav,02_matched_t0.wav,wtc1f03_cut-MIDI-Unprocessed_049_PIANO049_MID--AUDIO-split_07-06-17_Piano-e_2-06_wav--1.midi,1ffa4c7fa1bef07c4c319bca3bc41ebc6fd018161f52f990be1a48ab9d704d85,1ffa4c7fa1bef07c4c319bca3bc41ebc6fd018161f52f990be1a48ab9d704d85,1f82b5d1c4d5298e00480b012e1a66a4c4ff33e5abec3adce1e77a98ae1eb746
